name                                   License type       link
snapsvg                                Apache-2.0         git+ssh://git@github.com/adobe-webplatform/Snap.svg.git
sparqljs                               MIT                git+https://github.com/RubenVerborgh/SPARQL.js.git
tslib                                  0BSD               git+https://github.com/Microsoft/tslib.git
ui-bootstrap4                          MIT                git+https://github.com/morgul/ui-bootstrap4.git
ui-select                              MIT                git://github.com/angular-ui/ui-select.git
zone.js                                MIT                git://github.com/angular/zone.js.git
@ngtools/webpack                       MIT                git+https://github.com/angular/angular-cli.git
@types/jasmine                         MIT                https://github.com/DefinitelyTyped/DefinitelyTyped.git
@types/node                            MIT                https://github.com/DefinitelyTyped/DefinitelyTyped.git
angular2-template-loader               MIT                git+https://github.com/TheLarkInn/angular2-template-loader.git
antlr4ts-cli                           BSD-3-Clause       git+https://github.com/tunnelvisionlabs/antlr4ts.git
autoprefixer                           MIT                git+https://github.com/postcss/autoprefixer.git
copy-webpack-plugin                    MIT                git+https://github.com/webpack-contrib/copy-webpack-plugin.git
css-loader                             MIT                git+https://github.com/webpack-contrib/css-loader.git
extract-text-webpack-plugin            MIT                git+ssh://git@github.com/webpack-contrib/extract-text-webpack-plugin.git
file-loader                            MIT                git+https://github.com/webpack-contrib/file-loader.git
html-webpack-plugin                    MIT                git+https://github.com/jantimon/html-webpack-plugin.git
imports-loader                         MIT                git+https://github.com/webpack-contrib/imports-loader.git
jasmine-core                           MIT                git+https://github.com/jasmine/jasmine.git
karma                                  MIT                git://github.com/karma-runner/karma.git
karma-chrome-launcher                  MIT                git://github.com/karma-runner/karma-chrome-launcher.git
karma-html-reporter                    MIT                git://github.com/dtabuenc/karma-html-reporter.git
karma-jasmine                          MIT                git://github.com/karma-runner/karma-jasmine.git
karma-parallel                         MIT                git+https://github.com/joeljeske/karma-parallel.git
karma-sourcemap-loader                 MIT                git+ssh://git@github.com/demerzel3/karma-sourcemap-loader.git
karma-webpack                          MIT                git+https://github.com/webpack-contrib/karma-webpack.git
ng-bullet                              MIT                https://registry.npmjs.org/ng-bullet/-/ng-bullet-1.0.3.tgz
ng-mocks                               MIT                git+https://github.com/ike18t/ng-mocks.git
node-sass                              MIT                git+https://github.com/sass/node-sass.git
optimize-css-assets-webpack-plugin     MIT                git+ssh://git@github.com/NMFR/optimize-css-assets-webpack-plugin.git
postcss-loader                         MIT                git+https://github.com/postcss/postcss-loader.git
raw-loader                             MIT                git+https://github.com/webpack-contrib/raw-loader.git
rimraf                                 ISC                git://github.com/isaacs/rimraf.git
sass-loader                            MIT                git+https://github.com/webpack-contrib/sass-loader.git
style-loader                           MIT                git+https://github.com/webpack-contrib/style-loader.git
ts-loader                              MIT                git+https://github.com/TypeStrong/ts-loader.git
typescript                             Apache-2.0         git+https://github.com/Microsoft/TypeScript.git
uglifyjs-webpack-plugin                MIT                git+https://github.com/webpack-contrib/uglifyjs-webpack-plugin.git
webpack                                MIT                git+https://github.com/webpack/webpack.git
webpack-dev-server                     MIT                git+https://github.com/webpack/webpack-dev-server.git
webpack-merge                          MIT                git+https://github.com/survivejs/webpack-merge.git
